org	title (year)	URL	access	status	notes
Advisory Committee on Immunization Practices	Use of Recombinant Zoster Vaccine in Immunocompromised Adults Aged ≥19 Years: Recommendations of the Advisory Committee on Immunization Practices — United States, 2022 (2022)	https://www.cdc.gov/mmwr/volumes/71/wr/mm7103a2.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Dengue Vaccine: Recommendations of the Advisory Committee on Immunization Practices, United States, 2021 (2021)	https://www.cdc.gov/mmwr/volumes/70/rr/rr7006a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Ebola Vaccine in the United States (2021)	https://www.cdc.gov/mmwr/volumes/70/rr/rr7001a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Ebola Vaccine: Expansion of Recommendations of the Advisory Committee on Immunization Practices To Include Two Additional Populations — United States, 2021 (2021; pub 2022)	https://www.cdc.gov/mmwr/volumes/71/wr/mm7108a2.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Licensure of a Diphtheria and Tetanus Toxoids and Acellular Pertussis, Inactivated Poliovirus, Haemophilus influenzae Type b Conjugate, and Hepatitis B Vaccine, and Guidance for Use in Infants (2020)	https://www.cdc.gov/mmwr/volumes/69/wr/mm6905a5.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Meningococcal Vaccination: Recommendations of the Advisory Committee on Immunization Practices, United States, 2020 (2020)	https://www.cdc.gov/mmwr/volumes/69/rr/rr6909a1.htm	open	unqueued	MenB-4C dosing schedules superseded by mm7349a3 (2024); MenB-FHbp, MenACWY-TT/MenB-FHbp + booster recommendations unchanged
Advisory Committee on Immunization Practices	Prevention of Hepatitis A Virus Infection in the United States: Recommendations of the Advisory Committee on Immunization Practices, 2020 (2020)	https://www.cdc.gov/mmwr/volumes/69/rr/rr6905a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Human Papillomavirus Vaccination for Adults: Updated Recommendations of the Advisory Committee on Immunization Practices (2019)	https://www.cdc.gov/mmwr/volumes/68/wr/mm6832a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Japanese Encephalitis Vaccine: Recommendations of the Advisory Committee on Immunization Practices (2019)	https://www.cdc.gov/mmwr/volumes/68/rr/rr6802a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Anthrax Vaccine in the United States (2019)	https://www.cdc.gov/mmwr/volumes/68/rr/rr6804a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Tetanus Toxoid, Reduced Diphtheria Toxoid, and Acellular Pertussis Vaccines: Updated Recommendations of the Advisory Committee on Immunization Practices — United States, 2019 (2019; pub 2020)	https://www.cdc.gov/mmwr/volumes/69/wr/mm6903a5.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Prevention of Hepatitis B Virus Infection in the United States: Recommendations of the Advisory Committee on Immunization Practices (2018)	https://www.cdc.gov/mmwr/volumes/67/rr/rr6701a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Prevention of Pertussis, Tetanus, and Diphtheria with Vaccines in the United States: Recommendations of the Advisory Committee on Immunization Practices (ACIP) (2018)	https://www.cdc.gov/mmwr/volumes/67/rr/rr6702a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Recommendation of the Advisory Committee on Immunization Practices for Use of a Third Dose of Mumps Virus–Containing Vaccine in Persons at Increased Risk for Mumps During an Outbreak (2018)	https://www.cdc.gov/mmwr/volumes/67/wr/mm6701a7.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Recommendations of the Advisory Committee on Immunization Practices for Use of a Hepatitis B Vaccine with a Novel Adjuvant (2018)	https://www.cdc.gov/mmwr/volumes/67/wr/mm6715a5.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Recommendations of the Advisory Committee on Immunization Practices for Use of Herpes Zoster Vaccines (2018)	https://www.cdc.gov/mmwr/volumes/67/wr/mm6703a5.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Recommendations of the Advisory Committee on Immunization Practices for Use of Cholera Vaccine (2017)	https://www.cdc.gov/mmwr/volumes/66/wr/mm6618a6.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Food and Drug Administration Approval for Use of Hiberix as a 3-Dose Primary Haemophilus influenzae Type b (Hib) Vaccination Series (2016)	https://www.cdc.gov/mmwr/volumes/65/wr/mm6516a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of a 2-Dose Schedule for Human Papillomavirus Vaccination — Updated Recommendations of the Advisory Committee on Immunization Practices (2016)	https://www.cdc.gov/mmwr/volumes/65/wr/mm6549a5.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Updated Recommendations for the Use of Typhoid Vaccine (2015)	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6411a4.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of 9-Valent Human Papillomavirus (HPV) Vaccine : Updated HPV Vaccination Recommendations of the Advisory Committee on Immunization Practices (2015)	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6411a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Vaccinia Virus Smallpox Vaccine in Laboratory and Health Care Personnel at Risk for Occupational Exposure to Orthopoxviruses — Recommendations of the Advisory Committee on Immunization Practices (ACIP), 2015 (2015; pub 2016)	https://www.cdc.gov/mmwr/volumes/65/wr/mm6510a2.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Yellow Fever Vaccine Booster Doses (2015)	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6423a5.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Human Papillomavirus Vaccination: Recommendations of the Advisory Committee on Immunization Practices (ACIP) (2014)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr6305a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Prevention and Control of Haemophilus influenzae Type b Disease: Recommendations of the ACIP, 2014 (2014)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr6301a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Prevention of Measles, Rubella, Congenital Rubella Syndrome, and Mumps, 2013 Summary: Recommendations of the ACIP (2013)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr6204a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Updated Recommendations for Use of VariZIG — United States, 2013 (2013)	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6228a4.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Addition of History of Intussusception as a Contraindication for Rotavirus Vaccination (2011)	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6041a5.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Immunization of Health-Care Personnel: Recommendations of the Advisory Committee on Immunization Practices (ACIP) (2011)	https://www.cdc.gov/mmwr/pdf/rr/rr6007.pdf	open	unqueued	indexed-by=Healthcare Infection Control Practices Advisory Committee
Advisory Committee on Immunization Practices	Addition of Severe Combined Immunodeficiency as a Contraindication for Administration of Rotavirus Vaccine (2010)	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5922a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	MMRV—Use of Combination Measles, Mumps, Rubella, and Varicella Vaccine Recommendations of the ACIP (2010)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5903a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of a Reduced (4-Dose) Vaccine Schedule for Postexposure Prophylaxis to Prevent Human Rabies (2010)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5902a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Yellow Fever Vaccine (2010)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5907a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Prevention of Rotavirus Gastroenteritis Among Infants and Children Recommendations of the ACIP (2009)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5802a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Updated Recommendations of the ACIP Regarding Routine Poliovirus Vaccination (2009)	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5830a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Human Rabies Prevention—United States, 2008 (2008)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5703a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Notice to Readers: Newly Licensed Smallpox Vaccine to Replace Old Smallpox Vaccine (2008)	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5708a6.htm	open	excluded(administrative; vaccine replacement and destruction notice, no patient-care recommendation)	-
Advisory Committee on Immunization Practices	Notice to Readers: Requirements for Use of a New International Certificate of Vaccination or Prophylaxis for Yellow Fever Vaccine (2008)	https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5651a4.htm	open	excluded(administrative; certificate documentation requirement, no patient-care recommendation)	-
Advisory Committee on Immunization Practices	Prevention of Herpes Zoster (2008)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5705a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Prevention of Varicella: Recommendations of the ACIP (2007)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5604a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Surveillance Guidelines for Smallpox Vaccine (vaccinia) Adverse Reactions (2006)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5501a1.htm	open	excluded(surveillance; case definitions and reporting criteria, not patient-care recommendation)	-
Advisory Committee on Immunization Practices	Vaccinia (Smallpox) Vaccine (2001)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5010a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Poliomyelitis Prevention in the United States (2000)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr4905a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices + Healthcare Infection Control Practices Advisory Committee	Recommendations for Using Smallpox Vaccine in a Pre-Event Vaccination Program: Supplemental Recommendations of the Advisory Committee on Immunization Practices and the Healthcare Infection Control Practices Advisory Committee (2003)	https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5207a1.htm	open	unqueued	co-issued
Centers for Disease Control and Prevention	CDC Clinical Practice Guideline for Prescribing Opioids for Pain — United States, 2022 (2022)	https://www.cdc.gov/mmwr/volumes/71/rr/rr7103a1.htm	open	in-progress	id=cdc-2022-opioid
Defense Health Agency Joint Trauma System	(Acute Extremity) Compartment Syndrome (CS) and the Role of Fasciotomy in Extremity War Wounds (2026)	https://jts.health.mil/assets/docs/cpgs/Extremity_Compartment_Syndrome_and_Fasciotomy_ID17_21_May_2026.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	(Guideline for Forward Management of) Acute Mental Health Conditions by Non-specialty Medical Personnel (2026)	https://jts.health.mil/assets/docs/cpgs/Mental_Health_Mar_2026.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	(The Use of) Dried Plasma in the Deployed Trauma System and Contingency Operations (2026)	https://jts.health.mil/assets/docs/cpgs/Dried_Plasma_CPG_09_Jun_2026_ID103.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Airway Management in Trauma (2026)	https://jts.health.mil/assets/docs/cpgs/Airway_Management_in_Trauma_28_Jan_2026_ID39.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Chemical, Biological, Radiological and Nuclear (CBRN) Injury Part I: Initial Response to CBRN Agents (2026)	https://jts.health.mil/assets/docs/cpgs/CBRN_Injury_Part1_Initial_Response_08_Apr_2026_ID69_v1.2.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Healthcare Provider Responsibilities (2026)	https://jts.health.mil/assets/docs/cpgs/K9_Healthcare_Provider_Responsibilities_CPG_C1_22_Jun_2026.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	Hypothermia and Cold Injuries (2026)	https://jts.health.mil/assets/docs/cpgs/K9_Hypothermia_CPG_C10_22_June_2026.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	iCOVER Practical Activity Cards (2026)	https://jts.health.mil/assets/docs/cpgs/iCOVER_Practical_Activity_Cards_6FEB2026.pdf	open	excluded(derivative; parent guideline not issued here)	training curriculum
Defense Health Agency Joint Trauma System	iCOVER Stand Alone Training (2026)	https://jts.health.mil/assets/docs/cpgs/iCOVER_stand-alone_training_6FEB2026.pdf	open	excluded(derivative; parent guideline not issued here)	training curriculum
Defense Health Agency Joint Trauma System	iCOVER Train The Trainer Training (2026)	https://jts.health.mil/assets/docs/cpgs/iCOVER_Train-the-Trainer_6FEB2026.pdf	open	excluded(derivative; parent guideline not issued here)	training curriculum
Defense Health Agency Joint Trauma System	Joint En Route Care Guidelines, Committee on En Route Combat Casualty Care (2026)	https://jts.health.mil/assets/docs/cpgs/CoERCCC%20Guidelines%20FY26.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Medical Records Documentation (2026)	https://jts.health.mil/assets/docs/cpgs/K9_Medical_Records_Documentation_CPG_c22_01_APR_2026.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	Orthopaedic Trauma: Extremity Fractures (2026)	https://jts.health.mil/assets/docs/cpgs/Orthopaedic_Trauma_Extremity_Fractures_ID56_22_Jun_2026.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Pelvic Fracture Care (2026)	https://jts.health.mil/assets/docs/cpgs/Pelvic_Fracture_Care_17_Feb_2026_ID34v1.1.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Snakebite Envenomation (2026)	https://jts.health.mil/assets/docs/cpgs/Snakebite_Envenomation_CPG_ID81_26_Apr_2026_v1.1.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Spider and Scorpion Envenomation (2026)	https://jts.health.mil/assets/docs/cpgs/Spider_and_Scorpion_Envenomation_21_Jul_2026_ID84_v1.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	(Emergency) Airway Management (2025)	https://jts.health.mil/assets/docs/cpgs/K9_Airway_Management_CPG_c3_18_Dec_2025.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	(Human) Space Flight Emergencies in the Prehospital Environment (2025)	https://jts.health.mil/assets/docs/cpgs/(JOINTSTAFF)_20251223_CPG_Space_Medicine_final_v1.2.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	(Use of) Traumatic Brain Injury Biomarkers after a Potentially Concussive Event (2025)	https://jts.health.mil/assets/docs/cpgs/Use_of_TBI_Biomarkers_after_Potentially_Concussive_Event_14_Apr_2025_ID90_v1.2.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Aerial Delivery of Fresh and Stored Blood Products (2025)	https://jts.health.mil/assets/docs/cpgs/Aerial_Delivery_Fresh_Stored_Blood_Products_01_Dec_2025.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Arachnid and Snake Envenomation (2025)	https://jts.health.mil/assets/docs/cpgs/Arachnid_Snake_Envenomation_MWD_CPG_c11_29_Mar_2025_v1.2.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	Aural Blast Injury/Acoustic Trauma and Hearing Loss (2025)	https://jts.health.mil/assets/docs/cpgs/Aural_Blast_Injury_Acoustic_Trauma_and_Hearing_Loss_14_Aug_2025_ID05_v1.1.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Blast, Burn, and Crush Injuries (2025)	https://jts.health.mil/assets/docs/cpgs/K9_Blast_Burn_Crush_Injuries_CPG_c12_30_Dec_2025.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	Burn Care (2025)	https://jts.health.mil/assets/docs/cpgs/Burn_Care_CPG_10_June_2025_ID12_v1.3.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Canine Posttraumatic Stress (C-PTS) and Canine Posttraumatic Stress Disorder (C-PTSD) (2025)	https://jts.health.mil/assets/docs/cpgs/K9_C-PTS_C-PTSD_CPG_c18_14_Aug_2025_v1.1.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	Cardiopulmonary Resuscitation (CPR) (2025)	https://jts.health.mil/assets/docs/cpgs/K9_CPR_CPG_c5_14_Aug_2025_v1.1.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	Chemical, Biological, Radiological, and Nuclear (CBRN) Injury Response Part 4: General Approach to Biological Casualties (2025)	https://jts.health.mil/assets/docs/cpgs/CBRN_Part_4_General_Approach_to_Biological_Casualties_27_Feb_2025_ID101.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Drowning Management (2025)	https://jts.health.mil/assets/docs/cpgs/Drowning_Management_17_Mar_2025_ID64_v1.1.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Emergency Life-Saving Cranial Procedures by Non-Neurosurgeons in Deployed Setting (2025)	https://jts.health.mil/assets/docs/cpgs/Emergency_Cranial_Procedures_by_Non-neurosurgeons_10_June_2025_ID68_v1.2.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Euthanasia (2025)	https://jts.health.mil/assets/docs/cpgs/K9_Euthanasia_MWD_CPG_c21_03_Apr_2025_v1.1.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	Fostering Resilience and Managing Emotions (2025)	https://jts.health.mil/assets/docs/cpgs/frame_mental_skills_with_human_remains_18JUN25.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Heat Injury (2025)	https://jts.health.mil/assets/docs/cpgs/K9_Heat_Injury_MWD_CPG_c9_29_Mar_2025_v1.1.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	i-STAT Portable Blood Analyzer in Austere Locations (2025)	https://jts.health.mil/assets/docs/cpgs/i-STAT_Portable_CCATT_Final_26_FEB_2025.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Interfacility Transport of Patients Between Medical Treatment Facilities (2025)	https://jts.health.mil/assets/docs/cpgs/Interfacility_Transport_CoERCCC_OPG.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Mechanical Ventilation Basics (2025)	https://jts.health.mil/assets/docs/cpgs/Mechnical_Ventilation_Basics_09_Apr_2025_ID92_v1.1.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Mechanical Ventilation during Critical Care Air Transport (2025)	https://jts.health.mil/assets/docs/cpgs/Mechanical_Ventilation_CCATT_10_MAR_2025.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Negative Pressure Wound Therapy (2025)	https://jts.health.mil/assets/docs/cpgs/NPWT_CCATT_26_Feb_2025.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Normal Clinical Parameters (2025)	https://jts.health.mil/assets/docs/cpgs/Normal_Clinical_Parameters_MWD_c2_05_May_2025_v1.2.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	Nursing Interventions, Wound Care, and Splint Management in Prolonged Casualty Care (2025)	https://jts.health.mil/assets/docs/cpgs/Nursing_Interventions_PCC_08_July_2025_ID70_v1.1.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Ocular Injuries (2025)	https://jts.health.mil/assets/docs/cpgs/K9_Ocular_Injuries_CPG_c15_30_Dec_2025.pdf	open	excluded(veterinary; not human patient care)	veterinary
Defense Health Agency Joint Trauma System	Resuscitative Endovascular Balloon Occlusion of the Aorta (REBOA) for Hemorrhagic Shock (2025)	https://jts.health.mil/assets/docs/cpgs/REBOA_for_Hemorrhagic_Shock_4.3.2026_ID38_v1.4.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Transcutaneous Temporary Transvenous Pacing (2025)	https://jts.health.mil/assets/docs/cpgs/TVTCP_CCATT_26_Jan_2025.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Transfusion of Type A Whole Blood for the Role 3 (2025)	https://jts.health.mil/assets/docs/cpgs/Type_A_Specific_WB_Transfusion_30_May_2025_ID96_v1.1.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	U.S. Army Aeromedical Evacuation Standard Medical Operating Guidelines (SMOG) (2025)	https://jts.health.mil/assets/docs/cpgs/US_Army_Aeromedical_Evacuation_Standard_Medical_Operating_Guidelines_26NOV2025.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Universal Portable Anesthesia Complete (UPAC) Vaporizer And Mechanical Ventilation (2025)	https://jts.health.mil/assets/docs/cpgs/UPAC_Ventilation_Guide.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Vascular Injury (2025)	https://jts.health.mil/assets/docs/cpgs/Vascular_Injury_09_Apr_2025_ID46_v1.2.pdf	open	unqueued	-
Defense Health Agency Joint Trauma System	Wound Management (2025)	https://jts.health.mil/assets/docs/cpgs/K9_Wound_Management_CPG_c14_18_Dec_2025.pdf	open	excluded(veterinary; not human patient care)	veterinary
